"Number","lable","perimeter","sapwood_depth","bark","radius_05","radius_1","radius_15","radius_2","radius_25","radius_3","radius_13","dbh_measured","area_measured","bark_area","hardwood_area","sapwood_area","d_05","d_1","d_15","d_2","d_25","d_3","dbh_scan"
"13",1440,127.4,0.03128,0.01195,0.2030713,0.1937319,0.1816932,0.1759727,0.1813369,0.1764274,0.1903476,0.405526794998149,0.129160284206911,0.0147756727150857,0.0492039082905731,0.0651807032012518,0.4061426,0.3874638,0.3633864,0.3519454,0.3626738,0.3528548,0.3806952
"14",2215,76.2,0.02336,0.00569,0.1066631,0.1056618,0.1011727,0.0962967,0.08903927,0.1066198,0.1018233,0.242552133272048,0.0462061813883252,0.00423406748208811,0.0194849021056539,0.0224872118005832,0.2133262,0.2113236,0.2023454,0.1925934,0.17807854,0.2132396,0.2036466
"15",NA,84,0.0241,0.00642,0.1345318,0.1081114,0.09754489,0.09754489,0.09464435,0.1035943,0.1042947,0.267380304394384,0.0561498639228207,0.00526331486055259,0.0227104994343236,0.0281760496279444,0.2690636,0.2162228,0.19508978,0.19508978,0.1892887,0.2071886,0.2085894
"16",NA,63.2,0.03084,0.00572,0.1337678,0.1061211,0.09575015,0.09765911,0.09745299,0.1037254,0.1034783,0.201171848068156,0.0317851519947686,0.00351225211492279,0.0189067617016987,0.00936613817814709,0.2675356,0.2122422,0.1915003,0.19531822,0.19490598,0.2074508,0.2069566
"17",2212,64.4,0.02604,0.00709,0.1001927,0.07510698,0.07125059,0.08472747,0.09533079,0.123005,0.08643988,0.204991566702361,0.0330036422390802,0.00440803810633008,0.0178875176423571,0.010708086490393,0.2003854,0.15021396,0.14250118,0.16945494,0.19066158,0.24601,0.17287976
"18",2218,100.6,0.02637,0.00677,0.1407011,0.1418956,0.153253,0.1249543,0.130478,0.1904919,0.1411484,0.320219745500893,0.0805352659934747,0.00666663169806728,0.0298885557089055,0.0439800785865019,0.2814022,0.2837912,0.306506,0.2499086,0.260956,0.3809838,0.2822968
"19",NA,79.2,0.02102,0.0041,0.1208074,0.1132212,0.09791775,0.08716877,0.08017154,0.08449762,0.1009875,0.252101429857562,0.0499160831117973,0.00319438982749316,0.0179126497966506,0.0288090434876535,0.2416148,0.2264424,0.1958355,0.17433754,0.16034308,0.16899524,0.201975
"20",1411,97,0.02947,0.00673,0.1229466,0.1195809,0.09932471,0.1042596,0.09941546,0.1223088,0.1077837,0.308760589598277,0.0748744429775822,0.00638580815810025,0.0309971313230298,0.0374915034964521,0.2458932,0.2391618,0.19864942,0.2085192,0.19883092,0.2446176,0.2155674
"21",1410,99.4,0.01696,0.00471,0.1338765,0.1330981,0.1298293,0.1169732,0.10763521,0.1052387,0.1317652,0.316400026866688,0.078625406676372,0.0046120465944135,0.0200647229615527,0.0539486371204058,0.267753,0.2661962,0.2596586,0.2339464,0.21527042,0.2104774,0.2635304
"22",1408,126.2,0.0326,0.00735,0.2168551,0.1994021,0.1905993,0.1964334,0.1936184,0.192275,0.1993734,0.401707076363944,0.126738582592824,0.00910598331087141,0.0454029102708891,0.0722296890110638,0.4337102,0.3988042,0.3811986,0.3928668,0.3872368,0.38455,0.3987468
"23",2397,69.6,0.01556,0.00488,0.09290995,0.09024856,0.08791067,0.08786283,0.08756017,0.08702642,0.08768912,0.221543680783918,0.0385486004564018,0.00332166485591035,0.0129137026955232,0.0223132329049683,0.1858199,0.18049712,0.17582134,0.17572566,0.17512034,0.17405284,0.17537824
"24",2807,134.4,0.03083,0.0091,0.1575522,0.1518455,0.1476146,0.1335228,0.1261168,0.1316966,0.1483172,0.427808487031015,0.143743651642421,0.0119702447123562,0.0486569492793124,0.0831164576507523,0.3151044,0.303691,0.2952292,0.2670456,0.2522336,0.2633932,0.2966344
