measured_sapwood_area_10,measured_sapwood_area_20,measured_sapwood_area_30,lmpredict_sapwood_area_10,lmpredict_sapwood_area_20,lmpredict_sapwood_area_30
0.0164197116049432,0.100936471401092,0.0497566376051587,0.019975908,0.089329401,0.05006700
0.00869932218632814,0.100936471401092,0.0485803808622505,0.009822047,0.089329401,0.05188736
0.0237038173101333,0.00640509539781193,0.0798892293903034,0.024728780,0.004320677,0.07555199
0.0237038173101333,0.0105832414610381,0.0510544752797248,0.024728780,0.011091283,0.05613485
0.0651807032012518,0.0294055095908735,0.0557945468839056,0.076362247,0.031779247,0.05694390
0.0224872118005832,0.0368030802646885,0.0576204033837547,0.021056106,0.043815881,0.07696782
0.0281760496279444,0.0262762977106766,0.0184735976097458,0.029481651,0.034412261,0.01426666
0.00936613817814709,0.0193878588810055,0.0141300540528157,0.007013532,0.021999482,0.01001916
0.010708086490393,0.0552151438944633,0.0123541041822254,0.008309769,0.056604804,0.01123273
0.0439800785865019,0.00867764455591386,0.110329892197399,0.047412939,0.012595862,0.10407090
0.0288090434876535,0.0164197116049432,,0.024296701,0.022563699,
0.0374915034964521,0.00869932218632814,,0.043524226,0.013724297,
0.0539486371204058,0.0237038173101333,,0.046116702,0.026701292,
0.0722296890110638,0.0237038173101333,,0.075066010,0.026701292,
0.0223132329049683,0.0651807032012518,,0.013926799,0.071650596,
0.0831164576507523,0.0224872118005832,,0.083923634,0.023504061,
0.0481277042630015,0.0281760496279444,,0.059079078,0.030838885,
0.0220448239425599,0.00936613817814709,,0.018247591,0.011279356,
0.0376287157106274,0.010708086490393,,0.049573335,0.012407790,
0.0154545275205587,0.0439800785865019,,0.009822047,0.046448894,
0.0370617384715265,0.0288090434876535,,0.035746800,0.026325147,
0.0648349537091452,0.0374915034964521,,0.064264029,0.043063591,
0.0497566376051587,,,0.051517692,,
0.0485803808622505,,,0.053462048,,
0.0798892293903034,,,0.078738683,,
0.0510544752797248,,,0.057998880,,
0.0557945468839056,,,0.058863039,,
0.0576204033837547,,,0.080250960,,
0.0184735976097458,,,0.013278680,,
0.0141300540528157,,,0.008741848,,
0.0123541041822254,,,0.010038086,,
0.110329892197399,,,0.109200269,,
